Comment,Designator,Footprint,LCSC Part #
"100n Unpolarized capacitor, small symbol","C1,C3,C5,C11,C12,C13,C17,C21,C25,C27,C31,C32,C36,C37,C38,C39,C48,C54,C55,C56,C57,C66,C72,C73,C74,C75,C84,C90,C91,C92,C93,C102,C108,C109,C110,C111,C112,C113,C114,C117,C118,C119,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C136,C137,C138,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C176,C177,C180,C181,C182,C183,C184,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,C198,C199,C200,C201,C203,C204,C205,C206,C207,C208,C209,C210,C212,C213,C216,C217,C218,C219,C220,C223,C224,C225,C226,C227,C228,C229,C230,C233",C_0402_1005Metric,C307331
"1u Unpolarized capacitor, small symbol","C2,C16,C49,C52,C53,C67,C70,C71,C85,C88,C89,C103,C106,C107,C121,C140,C175,C179,C211,C215,C231,C232",C_0402_1005Metric,C52923
"22n Unpolarized capacitor, small symbol","C4,C20,C42,C60,C78,C96",C_0402_1005Metric,C1532
10u Unpolarized capacitor,"C6,C7,C8,C18,C19,C30,C35",C_0805_2012Metric,C15850
100u Unpolarized capacitor,"C9,C40,C58,C76,C94",CP_Elec_6.3x7.7,C134220
"1n Unpolarized capacitor, small symbol","C10,C24",C_0402_1005Metric,C1523
22u Unpolarized capacitor,"C14,C15,C22,C23,C28,C29,C33,C34,C41,C43,C44,C45,C46,C47,C59,C61,C62,C63,C64,C65,C77,C79,C80,C81,C82,C83,C95,C97,C98,C99,C100,C101",C_0805_2012Metric,C45783
"4.7u Unpolarized capacitor, small symbol","C26,C120,C139,C178,C214",C_0402_1005Metric,C23733
"220p Unpolarized capacitor, small symbol","C50,C68,C86,C104",C_0402_1005Metric,C1530
"2.2n Unpolarized capacitor, small symbol","C51,C69,C87,C105",C_0402_1005Metric,C1531
"100p Unpolarized capacitor, small symbol","C115,C134,C159,C160,C202",C_0402_1005Metric,C1546
"2.2u Unpolarized capacitor, small symbol","C116,C135,C185,C186,C221,C222",C_0402_1005Metric,C12530
TZ-P2-0603GTCS1-0.6T Light emitting diode,"D1,D2,D3,D4,D5,D6,D8,D10,D12,D14",LED_0603_1608Metric,C2286
"1N5819 40V 1A Schottky Barrier Rectifier Diode, DO-41","D7,D9,D11,D13",D_SOD-323,C191023
~ Mounting Hole with connection,"H1,H2,H3",MountingHole_2.5mm_Pad,
"Conn_01x06_Pin Generic connector, single row, 01x06, script generated","J3,J4,J6,J8",PinHeader_1x06_P1.27mm_Vertical_SMD_Pin1Right,C2881612
10118194-0001LF USB Micro Type B connector,"J5,J7",AMPHENOL_10118194-0001LF,C132563
"AMPHENOL_62684-401100ALF Generic connectable mounting pin connector, single row, 01x40, script generated (kicad-library-utils/schlib/autogen/connector/)",J9,AMPHENOL_62684-401100ALF,
"1054301108 Generic connectable mounting pin connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",J10,MOLEX_1054301108,
SRP1038A-4R7M Inductor,"L1,L4,L5,L6,L7",L_Vishay_IHLP-4040,C2041319
SPM5020T-4R7M-LR Inductor,"L2,L3",L_Vishay_IHLP-2020,C307807
"RE1C002UNTCL 0.21A Id, 60V Vds, N-Channel MOSFET, SOT-23","Q1,Q2",SOT-23,C509959
"RE1C002UNTCL 0.21A Id, 60V Vds, N-Channel MOSFET, SOT-23","Q3,Q4,Q5,Q6",SOT-416,C509959
"200R Resistor, small US symbol","R1,R13",R_0402_1005Metric,C25087
"10K Resistor, small US symbol","R2,R14,R15,R16,R17,R119,R120,R122,R123,R152,R153,R155,R156,R176,R177,R190,R191,R192,R193,R194,R195,R196,R197,R230,R231,R237,R245,R246,R247,R248,R267,R268",R_0402_1005Metric,C25744
"20K Resistor, small US symbol","R3,R18",R_0402_1005Metric,C25765
"5m Resistor, small US symbol","R4,R9,R10,R31,R49,R72,R87",R_1206_3216Metric,C464975
"0R Resistor, small US symbol","R5,R6,R24,R25,R42,R43,R66,R67,R81,R82",R_0402_1005Metric,C17168
"1R Resistor, small US symbol","R7,R11,R276,R278",R_0402_1005Metric,C25086
"100K Resistor, small US symbol","R19,R21,R47,R105,R114,R127,R138,R147,R160,R170,R171,R172,R182,R184,R202,R203,R217,R218,R233,R234,R240,R252,R263",R_0402_1005Metric,C25741
"5.6K Resistor, small US symbol","R20,R22",R_0402_1005Metric,C25908
"27K Resistor, small US symbol","R23,R36,R54,R76,R91",R_0402_1005Metric,C25771
"47K Resistor, small US symbol","R26,R44,R68,R83",R_0402_1005Metric,C25792
"33R Resistor, small US symbol","R27,R45,R69,R84,R130,R163,R201,R251",R_0402_1005Metric,C25105
"200K Resistor, small US symbol","R28,R33,R46,R51,R52,R70,R74,R85,R89,R102,R106,R107,R108,R115,R116,R117,R118,R126,R128,R129,R131,R135,R139,R140,R141,R148,R149,R150,R151,R159,R161,R162,R164,R173,R174,R175,R180,R181,R183,R185,R186,R187,R188,R189,R199,R200,R205,R206,R208,R209,R210,R211,R215,R216,R219,R220,R221,R225,R226,R235,R236,R239,R241,R242,R243,R244,R250,R254,R256,R257,R258,R262,R264,R269,R272,R273,R274",R_0402_1005Metric,C25764
"15K Resistor, small US symbol","R29,R37,R55,R56,R77,R92",R_0402_1005Metric,C25756
"22K Resistor, small US symbol","R30,R40,R58,R79,R94",R_0402_1005Metric,C25768
"8.2K Resistor, small US symbol","R32,R50,R73,R88",R_0402_1005Metric,C25924
"330K Resistor, small US symbol",R34,R_0402_1005Metric,C25778
"1.5K Resistor, small US symbol",R35,R_0402_1005Metric,C25867
"12K Resistor, small US symbol",R38,R_0402_1005Metric,C25752
"150K Resistor, small US symbol","R39,R71,R86",R_0402_1005Metric,C25755
"1K Resistor, small US symbol","R41,R59,R80,R95",R_0402_1005Metric,C11702
"51K Resistor, small US symbol","R48,R78,R93",R_0402_1005Metric,C25794
"2.2K Resistor, small US symbol",R53,R_0402_1005Metric,C25879
"75K Resistor, small US symbol",R57,R_0402_1005Metric,C25798
"4.7K Resistor, small US symbol","R60,R61,R62,R63,R64,R65,R96,R97,R98,R99,R100,R101",R_0402_1005Metric,C25900
"220K Resistor, small US symbol","R75,R90",R_0402_1005Metric,C25767
"510R Resistor, small US symbol","R112,R124,R132,R145,R157,R165,R212,R223,R228,R259,R266,R271",R_0402_1005Metric,C25123
"TCA9544APWR I2C Hub, 4 Channels, Interrupts, TSSOP-20",U1,TSSOP-20_4.4x6.5mm_P0.65mm,C2674619
VBQF1303 ,"U2,U6",V-DFN3030-8,C481054
"INA219AIDCNR Zero-Drift, Bidirectional Current/Power Monitor (0-26V) With I2C Interface, SOT-23-8","U3,U13,U17,U21,U25",SOT-23-8,C87469
NCP45770IMN24TWG ,"U4,U8",WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm,C892480
"AP74700QW6-7 Low Iq reverse battery protection ideal diode controller, SOT-23-6","U5,U9",SOT-23-6,C5381661
MP2651GVT ,U7,TQFN30_MP2651,C5632167
"AP63205WU-7 2A, 1.1MHz Buck DC/DC Converter, fixed 5.0V output voltage, TSOT-23-6",U10,TSOT-23-6,C2071056
TPS2121RUXR ,U11,Texas_VQFN-HR-12_2x2.5mm_P0.5mm_ThermalVias,C485916
"AP63203WU-7 2A, 1.1MHz Buck DC/DC Converter, fixed 3.3V output voltage, TSOT-23-6",U12,TSOT-23-6,C780769
LM73100RPWR ,"U14,U18,U22,U26",VQFN-HR,C3210761
TPS259474LRPWR ,"U15,U19,U23,U27",VQFN-HR,C3662807
MP28167-A ,"U16,U20,U24,U28",QFN-16-MP28167,
TCAN1051GVDRBRQ ,"U29,U37,U45,U46,U73",DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,C1848110
TPS2115ADRBR ,"U30,U33,U36,U38,U41,U44,U65,U70,U71,U86,U89,U90",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,C140321
"STM32F412RETx STMicroelectronics Arm Cortex-M4 MCU, 512KB flash, 256KB RAM, 100 MHz, 1.7-3.6V, 50 GPIO, LQFP64","U31,U39",LQFP-64_10x10mm_P0.5mm,C89374
