Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","100n","C_0402_1005Metric",104.292500,-72.505000,180.000000,top
"C2","1u","C_0402_1005Metric",121.620000,-43.080000,90.000000,top
"C3","100n","C_0402_1005Metric",135.545000,-45.280000,90.000000,top
"C4","22n","C_0402_1005Metric",129.320000,-40.630000,0.000000,top
"C5","100n","C_0402_1005Metric",132.820000,-45.580000,-90.000000,top
"C6","10u","C_0805_2012Metric",103.545000,-45.230000,-90.000000,top
"C7","10u","C_0805_2012Metric",101.445000,-45.230000,-90.000000,top
"C8","10u","C_0805_2012Metric",99.345000,-45.230000,-90.000000,top
"C9","100u","CP_Elec_6.3x7.7",108.745000,-44.280000,-90.000000,top
"C10","1n","C_0402_1005Metric",122.620000,-41.080000,90.000000,top
"C11","100n","C_0402_1005Metric",132.820000,-47.680000,90.000000,top
"C12","100n","C_0402_1005Metric",112.645000,-50.280000,180.000000,top
"C13","100n","C_0402_1005Metric",112.555000,-64.880000,180.000000,top
"C14","22u","C_0805_2012Metric",107.495000,-60.580000,0.000000,top
"C15","22u","C_0805_2012Metric",107.495000,-62.630000,0.000000,top
"C16","1u","C_0402_1005Metric",121.645000,-64.167500,90.000000,top
"C17","100n","C_0402_1005Metric",103.495000,-61.880000,180.000000,top
"C18","10u","C_0805_2012Metric",107.495000,-52.530000,0.000000,top
"C19","10u","C_0805_2012Metric",107.495000,-54.580000,0.000000,top
"C20","22n","C_0402_1005Metric",129.145000,-61.717500,0.000000,top
"C21","100n","C_0402_1005Metric",132.845000,-66.667500,-90.000000,top
"C22","22u","C_0805_2012Metric",99.345000,-64.780000,180.000000,top
"C23","22u","C_0805_2012Metric",99.345000,-62.730000,180.000000,top
"C24","1n","C_0402_1005Metric",122.645000,-62.167500,90.000000,top
"C25","100n","C_0402_1005Metric",132.845000,-68.767500,90.000000,top
"C26","4.7u","C_0402_1005Metric",98.745000,-54.280000,-90.000000,top
"C27","100n","C_0402_1005Metric",134.445000,-48.730000,0.000000,top
"C28","22u","C_0805_2012Metric",139.182500,-56.830000,-90.000000,top
"C29","22u","C_0805_2012Metric",137.082500,-56.830000,-90.000000,top
"C30","10u","C_0805_2012Metric",130.707500,-54.030000,0.000000,top
"C31","100n","C_0402_1005Metric",125.845000,-49.580000,0.000000,top
"C32","100n","C_0402_1005Metric",134.545000,-58.080000,180.000000,top
"C33","22u","C_0805_2012Metric",139.206000,-66.130000,-90.000000,top
"C34","22u","C_0805_2012Metric",137.106000,-66.130000,-90.000000,top
"C35","10u","C_0805_2012Metric",130.707500,-60.130000,0.000000,top
