"100n Unpolarized capacitor, small symbol","C1,C3,C5,C11,C27,C31,C32,C36,C37,C38,C39,C48,C54,C55,C56,C57,C66,C194,C195,C200,C208,C210,C212,C213,C216,C217,C218,C219,C220,C223,C224,C225,C226,C227,C228,C229",C_0402_1005Metric,C307331
"1u Unpolarized capacitor, small symbol","C2,C49,C52,C53,C67,C70,C71,C211,C215",C_0402_1005Metric,C52923
"22n Unpolarized capacitor, small symbol","C4,C42,C60",C_0402_1005Metric,C1532
10u Unpolarized capacitor,"C6,C7,C8,C30,C35",C_0805_2012Metric,C15850
100u Unpolarized capacitor,"C9,C40,C58",CP_Elec_6.3x7.7,C134220
"1n Unpolarized capacitor, small symbol",C10,C_0402_1005Metric,C1523
22u Unpolarized capacitor,"C28,C29,C33,C34,C41,C43,C44,C45,C46,C47,C59,C61,C62,C63,C64,C65",C_0805_2012Metric,C45783
"220p Unpolarized capacitor, small symbol","C50,C68",C_0402_1005Metric,C1530
"2.2n Unpolarized capacitor, small symbol","C51,C69",C_0402_1005Metric,C1531
"4.7u Unpolarized capacitor, small symbol",C214,C_0402_1005Metric,C23733
"2.2u Unpolarized capacitor, small symbol","C221,C222",C_0402_1005Metric,C12530
TZ-P2-0603GTCS1-0.6T Light emitting diode,"D1,D3,D4,D14",LED_0603_1608Metric,C2286
"1N5819 40V 1A Schottky Barrier Rectifier Diode, DO-41",D13,D_SOD-323,C191023
10118194-0001LF USB Micro Type B connector,J7,AMPHENOL_10118194-0001LF,C132563
"Conn_01x06_Pin Generic connector, single row, 01x06, script generated",J8,PinHeader_1x06_P1.27mm_Vertical_SMD_Pin1Right,C2881612
"AMPHENOL_62684-401100ALF Generic connectable mounting pin connector, single row, 01x40, script generated (kicad-library-utils/schlib/autogen/connector/)",J9,AMPHENOL_62684-401100ALF,
"1054301108 Generic connectable mounting pin connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",J10,MOLEX_1054301108,
SPM5020T-4R7M-LR Inductor,"L2,L3",L_Vishay_IHLP-2020,C307807
SRP1038A-4R7M Inductor,"L4,L5",L_Vishay_IHLP-4040,C2041319
"RE1C002UNTCL 0.21A Id, 60V Vds, N-Channel MOSFET, SOT-23",Q1,SOT-23,C509959
"RE1C002UNTCL 0.21A Id, 60V Vds, N-Channel MOSFET, SOT-23","Q3,Q4",SOT-416,C509959
"200R Resistor, small US symbol",R1,R_0402_1005Metric,C25087
"10K Resistor, small US symbol","R2,R230,R231,R237,R267,R268",R_0402_1005Metric,C25744
"20K Resistor, small US symbol",R3,R_0402_1005Metric,C25765
"5m Resistor, small US symbol","R4,R31,R49",R_1206_3216Metric,C464975
"100K Resistor, small US symbol","R19,R21,R47,R234",R_0402_1005Metric,C25741
"5.6K Resistor, small US symbol","R20,R22",R_0402_1005Metric,C25908
"27K Resistor, small US symbol","R23,R36,R54",R_0402_1005Metric,C25771
"0R Resistor, small US symbol","R24,R25,R42,R43,R260",R_0402_1005Metric,C17168
"47K Resistor, small US symbol","R26,R44",R_0402_1005Metric,C25792
"33R Resistor, small US symbol","R27,R45,R251",R_0402_1005Metric,C25105
"200K Resistor, small US symbol","R28,R33,R46,R51,R52,R236,R239,R243,R244,R262,R269",R_0402_1005Metric,C25764
"15K Resistor, small US symbol","R29,R37,R55,R56",R_0402_1005Metric,C25756
"22K Resistor, small US symbol","R30,R40,R58",R_0402_1005Metric,C25768
"8.2K Resistor, small US symbol","R32,R50",R_0402_1005Metric,C25924
"330K Resistor, small US symbol",R34,R_0402_1005Metric,C25778
"1.5K Resistor, small US symbol",R35,R_0402_1005Metric,C25867
"12K Resistor, small US symbol",R38,R_0402_1005Metric,C25752
"150K Resistor, small US symbol",R39,R_0402_1005Metric,C25755
"1K Resistor, small US symbol","R41,R59",R_0402_1005Metric,C11702
"51K Resistor, small US symbol",R48,R_0402_1005Metric,C25794
"2.2K Resistor, small US symbol",R53,R_0402_1005Metric,C25879
"75K Resistor, small US symbol",R57,R_0402_1005Metric,C25798
"4.7K Resistor, small US symbol","R60,R61,R62,R63,R64,R65,R96,R97,R98,R99,R100,R101",R_0402_1005Metric,C25900
"510R Resistor, small US symbol","R266,R271",R_0402_1005Metric,C25123
"0R 4 resistor network, parallel topology","RN21,RN22,RN27",R_Array_Concave_4x0402,C2001
"0R 2 resistor network, parallel topology","RN24,RN26",R_Array_Convex_2x0402,C75375
"10K 2 resistor network, parallel topology",RN25,R_Array_Convex_2x0402,C695179
"TCA9544APWR I2C Hub, 4 Channels, Interrupts, TSSOP-20",U1,TSSOP-20_4.4x6.5mm_P0.65mm,C2674619
VBQF1303 ,U2,V-DFN3030-8,C481054
"INA219AIDCNR Zero-Drift, Bidirectional Current/Power Monitor (0-26V) With I2C Interface, SOT-23-8","U3,U13,U17",SOT-23-8,C87469
NCP45770IMN24TWG ,U4,WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm,C892480
"AP74700QW6-7 Low Iq reverse battery protection ideal diode controller, SOT-23-6",U5,SOT-23-6,C5381661
"AP63205WU-7 2A, 1.1MHz Buck DC/DC Converter, fixed 5.0V output voltage, TSOT-23-6",U10,TSOT-23-6,C2071056
TPS2121RUXR ,U11,Texas_VQFN-HR-12_2x2.5mm_P0.5mm_ThermalVias,C485916
"AP63203WU-7 2A, 1.1MHz Buck DC/DC Converter, fixed 3.3V output voltage, TSOT-23-6",U12,TSOT-23-6,C780769
LM73100RPWR ,"U14,U18",VQFN-HR,C3210761
TPS259474LRPWR ,"U15,U19",VQFN-HR,C3662807
MP28167-A ,"U16,U20",QFN-16-MP28167,
FH-00339 ,U72,PI_ZERO_2_W,C2685112
TCAN1051GVDRBRQ ,U73,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,C1848110
PCAL6524HEAZ ,U79,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,C3000497
ESD7004MUTAG ,U80,UDFN10_ESD,C1972960
"STM32H743ZITx STMicroelectronics Arm Cortex-M7 MCU, 2048KB flash, 1024KB RAM, 480 MHz, 1.62-3.6V, 114 GPIO, LQFP144",U85,LQFP-144_20x20mm_P0.5mm,C114408
TPS2115ADRBR ,"U89,U90",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm_ThermalVias,C140321
"CSTNE8M00G55A Three pin crystal, GND on pin 2, small symbol",Y4,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C341523
