Comment,Designator,Footprint,LCSC
STM32H743ZITx,U85,LQFP-144_20x20mm_P0.5mm,C114408
1K,"R41,R59",R_0402_1005Metric,C11702
2.2u,"C221,C222",C_0402_1005Metric,C12530
100u,"C40,C58,C9",CP_Elec_6.3x7.7,C134220
TPS2115ADRBR,"U89,U90",VSON-8-1EP_3x3mm_P0.65mm_EP1.65x2.4mm,C140321
1n,C10,C_0402_1005Metric,C1523
220p,"C50,C68",C_0402_1005Metric,C1530
2.2n,"C51,C69",C_0402_1005Metric,C1531
22n,"C4,C42,C60",C_0402_1005Metric,C1532
10u,"C30,C35,C6,C7,C8",C_0805_2012Metric,C15850
0R,"R24,R249,R25,R253,R255,R260,R265,R270,R42,R43",R_0402_1005Metric,C17168
120R,"R232,R238",R_0805_2012Metric,C17437
TCAN1051GVDRBRQ,U73,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,C1848110
THVD1450DRBR,U77,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,C1850226
1N5819,D13,D_SOD-323,C191023
0R,"RN21,RN22,RN27",R_Array_Concave_4x0402,C2001
SRP1038A-4R7M,"L4,L5",L_Vishay_IHLP-4040,C2041319
AP63205WU-7,U10,TSOT-23-6,C2071056
TZ-P2-0603GTCS1-0.6T,"D1,D14,D3,D4",LED_0603_1608Metric,C2286
4.7u,C214,C_0402_1005Metric,C23733
200R,R1,R_0402_1005Metric,C25087
33R,"R251,R27,R45",R_0402_1005Metric,C25105
510R,"R266,R271",R_0402_1005Metric,C25123
100K,"R19,R21,R234,R47",R_0402_1005Metric,C25741
10K,"R2,R230,R231,R237,R267,R268,R279,R280",R_0402_1005Metric,C25744
12K,R38,R_0402_1005Metric,C25752
150K,R39,R_0402_1005Metric,C25755
15K,"R29,R37,R55,R56",R_0402_1005Metric,C25756
200K,"R236,R239,R243,R244,R262,R269,R272,R273,R28,R33,R46,R51,R52",R_0402_1005Metric,C25764
20K,R3,R_0402_1005Metric,C25765
22K,"R30,R40,R58",R_0402_1005Metric,C25768
27K,"R23,R36,R54",R_0402_1005Metric,C25771
330K,R34,R_0402_1005Metric,C25778
47K,"R26,R44",R_0402_1005Metric,C25792
51K,R48,R_0402_1005Metric,C25794
75K,R57,R_0402_1005Metric,C25798
1.5K,R35,R_0402_1005Metric,C25867
2.2K,R53,R_0402_1005Metric,C25879
4.7K,"R100,R101,R60,R61,R62,R63,R64,R65,R96,R97,R98,R99",R_0402_1005Metric,C25900
5.6K,"R20,R22",R_0402_1005Metric,C25908
8.2K,"R32,R50",R_0402_1005Metric,C25924
TCA9544APWR,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C2674619
FH-00339,U72,PI_ZERO_2_W,C2685112
Conn_01x06_Pin,J8,PinHeader_1x06_P1.27mm_Vertical_SMD_Pin1Right,C2881612
AMPHENOL_62684-401100ALF,J9,AMPHENOL_62684-401100ALF,C2904111
PCAL6524HEAZ,U79,HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,C3000497
100n,"C1,C11,C194,C195,C198,C200,C208,C210,C212,C213,C216,C217,C218,C219,C220,C223,C224,C225,C226,C227,C228,C229,C27,C3,C31,C32,C36,C37,C38,C39,C48,C5,C54,C55,C56,C57,C66",C_0402_1005Metric,C307331
SPM5020T-4R7M-LR,"L2,L3",L_Vishay_IHLP-2020,C307807
LM73100RPWR,"U14,U18",VQFN-HR,C3210761
CSTNE8M00G55A,Y4,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C341523
TPS259474LRPWR,"U15,U19",VQFN-HR,C3662807
22u,"C28,C29,C33,C34,C41,C43,C44,C45,C46,C47,C59,C61,C62,C63,C64,C65",C_0805_2012Metric,C45783
5m,"R31,R4,R49",R_1206_3216Metric,C464975
VBQF1303,U2,V-DFN3030-8,C481054
TPS2121RUXR,U11,Texas_VQFN-HR-12_2x2.5mm_P0.5mm,C485916
RE1C002UNTCL,"Q1,Q3,Q4",SOT-416,C509959
1u,"C2,C211,C215,C49,C52,C53,C67,C70,C71",C_0402_1005Metric,C52923
AP74700QW6-7,U5,SOT-23-6,C5381661
0R,"RN23,RN24,RN26",R_Array_Convex_2x0402,C75375
AP63203WU-7,U12,TSOT-23-6,C780769
INA219AIDCNR,"U13,U17,U3",SOT-23-8,C87469
NCP45770IMN24TWG,U4,WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm,C892480
MP28167-A,U16,QFN-16-MP28167,
1054301108,J10,MOLEX_1054301108,
MP28167-A,U20,QFN-16-MP28167,
