Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,104.2925,-72.505,180.0,top
C2,1u,C_0402_1005Metric,121.62,-43.08,90.0,top
C3,100n,C_0402_1005Metric,135.545,-45.28,90.0,top
C4,22n,C_0402_1005Metric,129.32,-40.63,0.0,top
C5,100n,C_0402_1005Metric,132.82,-45.58,-90.0,top
C6,10u,C_0805_2012Metric,103.545,-45.23,-90.0,top
C7,10u,C_0805_2012Metric,101.445,-45.23,-90.0,top
C8,10u,C_0805_2012Metric,99.345,-45.23,-90.0,top
C9,100u,CP_Elec_6.3x7.7,108.745,-44.28,-90.0,top
C10,1n,C_0402_1005Metric,122.62,-41.08,90.0,top
C11,100n,C_0402_1005Metric,132.82,-47.68,90.0,top
C12,100n,C_0402_1005Metric,112.645,-50.28,180.0,top
C13,100n,C_0402_1005Metric,112.555,-64.88,180.0,top
C14,22u,C_0805_2012Metric,107.495,-60.58,0.0,top
C15,22u,C_0805_2012Metric,107.495,-62.63,0.0,top
C16,1u,C_0402_1005Metric,121.645,-64.1675,90.0,top
C17,100n,C_0402_1005Metric,103.495,-61.88,180.0,top
C18,10u,C_0805_2012Metric,107.495,-52.53,0.0,top
C19,10u,C_0805_2012Metric,107.495,-54.58,0.0,top
C20,22n,C_0402_1005Metric,129.145,-61.7175,0.0,top
C21,100n,C_0402_1005Metric,132.845,-66.6675,-90.0,top
C22,22u,C_0805_2012Metric,99.345,-64.78,180.0,top
C23,22u,C_0805_2012Metric,99.345,-62.73,180.0,top
C24,1n,C_0402_1005Metric,122.645,-62.1675,90.0,top
C25,100n,C_0402_1005Metric,132.845,-68.7675,90.0,top
C26,4.7u,C_0402_1005Metric,98.745,-54.28,-90.0,top
C27,100n,C_0402_1005Metric,134.445,-48.73,0.0,top
C28,22u,C_0805_2012Metric,139.1825,-56.83,-90.0,top
C29,22u,C_0805_2012Metric,137.0825,-56.83,-90.0,top
C30,10u,C_0805_2012Metric,130.7075,-54.03,0.0,top
C31,100n,C_0402_1005Metric,125.845,-49.58,0.0,top
C32,100n,C_0402_1005Metric,134.545,-58.08,180.0,top
C33,22u,C_0805_2012Metric,139.206,-66.13,-90.0,top
C34,22u,C_0805_2012Metric,137.106,-66.13,-90.0,top
C35,10u,C_0805_2012Metric,130.7075,-60.13,0.0,top
C36,100n,C_0402_1005Metric,152.495,-48.13,0.0,top
C37,100n,C_0402_1005Metric,164.295,-48.13,180.0,top
C38,100n,C_0402_1005Metric,169.095,-36.13,180.0,top
C39,100n,C_0402_1005Metric,154.995,-49.63,-90.0,top
C40,100u,CP_Elec_6.3x7.7,145.795,-48.73,-90.0,top
C41,22u,C_0805_2012Metric,150.495,-49.33,-90.0,top
C42,22n,C_0402_1005Metric,154.995,-52.13,90.0,top
C43,22u,C_0805_2012Metric,166.295,-45.83,90.0,top
C44,22u,C_0805_2012Metric,168.395,-49.33,-90.0,top
C45,22u,C_0805_2012Metric,166.295,-49.33,-90.0,top
C46,22u,C_0805_2012Metric,170.495,-49.33,-90.0,top
C47,22u,C_0805_2012Metric,168.395,-45.83,90.0,top
C48,100n,C_0402_1005Metric,161.795,-49.63,-90.0,top
C49,1u,C_0402_1005Metric,143.095,-40.83,180.0,top
C50,220p,C_0402_1005Metric,143.095,-41.83,180.0,top
C51,2.2n,C_0402_1005Metric,143.095,-43.83,180.0,top
C52,1u,C_0402_1005Metric,166.895,-43.53,180.0,top
C53,1u,C_0402_1005Metric,161.795,-52.13,90.0,top
C54,100n,C_0402_1005Metric,152.445,-66.33,0.0,top
C55,100n,C_0402_1005Metric,164.245,-66.33,180.0,top
C56,100n,C_0402_1005Metric,169.045,-54.33,180.0,top
C57,100n,C_0402_1005Metric,154.945,-67.83,-90.0,top
C58,100u,CP_Elec_6.3x7.7,145.745,-66.93,-90.0,top
C59,22u,C_0805_2012Metric,150.445,-67.53,-90.0,top
C60,22n,C_0402_1005Metric,154.945,-70.33,90.0,top
C61,22u,C_0805_2012Metric,166.245,-64.03,90.0,top
C62,22u,C_0805_2012Metric,168.345,-67.53,-90.0,top
C63,22u,C_0805_2012Metric,166.245,-67.53,-90.0,top
C64,22u,C_0805_2012Metric,170.445,-67.53,-90.0,top
C65,22u,C_0805_2012Metric,168.345,-64.03,90.0,top
C66,100n,C_0402_1005Metric,161.745,-67.83,-90.0,top
C67,1u,C_0402_1005Metric,143.045,-59.03,180.0,top
C68,220p,C_0402_1005Metric,143.045,-60.03,180.0,top
C69,2.2n,C_0402_1005Metric,143.045,-62.03,180.0,top
C70,1u,C_0402_1005Metric,166.845,-61.73,180.0,top
C71,1u,C_0402_1005Metric,161.745,-70.33,90.0,top
C72,100n,C_0402_1005Metric,183.245,-48.08,0.0,top
C73,100n,C_0402_1005Metric,195.045,-48.08,180.0,top
C74,100n,C_0402_1005Metric,199.845,-36.08,180.0,top
C75,100n,C_0402_1005Metric,185.745,-49.58,-90.0,top
C76,100u,CP_Elec_6.3x7.7,176.545,-48.68,-90.0,top
C77,22u,C_0805_2012Metric,181.245,-49.28,-90.0,top
C78,22n,C_0402_1005Metric,185.745,-52.08,90.0,top
C79,22u,C_0805_2012Metric,197.045,-45.78,90.0,top
C80,22u,C_0805_2012Metric,199.145,-49.28,-90.0,top
C81,22u,C_0805_2012Metric,197.045,-49.28,-90.0,top
C82,22u,C_0805_2012Metric,201.245,-49.28,-90.0,top
C83,22u,C_0805_2012Metric,199.145,-45.78,90.0,top
C84,100n,C_0402_1005Metric,192.545,-49.58,-90.0,top
C85,1u,C_0402_1005Metric,173.845,-40.78,180.0,top
C86,220p,C_0402_1005Metric,173.845,-41.78,180.0,top
C87,2.2n,C_0402_1005Metric,173.845,-43.78,180.0,top
C88,1u,C_0402_1005Metric,197.645,-43.48,180.0,top
C89,1u,C_0402_1005Metric,192.545,-52.08,90.0,top
C90,100n,C_0402_1005Metric,183.245,-66.33,0.0,top
C91,100n,C_0402_1005Metric,195.045,-66.33,180.0,top
C92,100n,C_0402_1005Metric,199.845,-54.33,180.0,top
C93,100n,C_0402_1005Metric,185.745,-67.83,-90.0,top
C94,100u,CP_Elec_6.3x7.7,176.545,-66.93,-90.0,top
C95,22u,C_0805_2012Metric,181.245,-67.53,-90.0,top
C96,22n,C_0402_1005Metric,185.745,-70.33,90.0,top
C97,22u,C_0805_2012Metric,197.045,-64.03,90.0,top
C98,22u,C_0805_2012Metric,199.145,-67.53,-90.0,top
C99,22u,C_0805_2012Metric,197.045,-67.53,-90.0,top
C100,22u,C_0805_2012Metric,201.245,-67.53,-90.0,top
C101,22u,C_0805_2012Metric,199.145,-64.03,90.0,top
C102,100n,C_0402_1005Metric,192.545,-67.83,-90.0,top
C103,1u,C_0402_1005Metric,173.845,-59.03,180.0,top
C104,220p,C_0402_1005Metric,173.845,-60.03,180.0,top
C105,2.2n,C_0402_1005Metric,173.845,-62.03,180.0,top
C106,1u,C_0402_1005Metric,197.645,-61.73,180.0,top
C107,1u,C_0402_1005Metric,192.545,-70.33,90.0,top
C108,100n,C_0402_1005Metric,185.201564,-147.2806,180.0,top
C109,100n,C_0402_1005Metric,178.101564,-144.7806,-90.0,top
C110,100n,C_0402_1005Metric,190.781564,-133.4856,90.0,top
C111,100n,C_0402_1005Metric,187.081564,-133.4856,90.0,top
C112,100n,C_0402_1005Metric,182.606564,-133.4856,90.0,top
C113,100n,C_0402_1005Metric,178.906564,-133.4856,90.0,top
C114,100n,C_0402_1005Metric,189.477164,-148.5632,180.0,top
C115,100p,C_0402_1005Metric,189.477164,-150.5952,180.0,top
C116,2.2u,C_0402_1005Metric,169.531564,-154.0356,-90.0,top
C117,100n,C_0402_1005Metric,177.986364,-149.3808,0.0,top
C118,100n,C_0402_1005Metric,174.606564,-133.4856,90.0,top
C119,100n,C_0402_1005Metric,170.906564,-133.4856,90.0,top
C120,4.7u,C_0402_1005Metric,165.131564,-154.0356,-90.0,top
C121,1u,C_0402_1005Metric,158.531564,-147.1356,180.0,top
C122,100n,C_0402_1005Metric,163.131564,-137.6356,90.0,top
C123,100n,C_0402_1005Metric,175.031564,-142.1356,0.0,top
C124,100n,C_0402_1005Metric,170.531564,-154.0356,-90.0,top
C125,100n,C_0402_1005Metric,158.531564,-148.1356,180.0,top
C126,100n,C_0402_1005Metric,164.131564,-154.0356,-90.0,top
C127,100n,C_0402_1005Metric,142.519749,-148.2306,180.0,top
C128,100n,C_0402_1005Metric,135.419749,-145.7306,-90.0,top
C129,100n,C_0402_1005Metric,148.099749,-134.4356,90.0,top
C130,100n,C_0402_1005Metric,144.399749,-134.4356,90.0,top
C131,100n,C_0402_1005Metric,139.924749,-134.4356,90.0,top
C132,100n,C_0402_1005Metric,136.224749,-134.4356,90.0,top
C133,100n,C_0402_1005Metric,146.795349,-149.5132,180.0,top
C134,100p,C_0402_1005Metric,146.795349,-151.5452,180.0,top
C135,2.2u,C_0402_1005Metric,126.849749,-154.9856,-90.0,top
C136,100n,C_0402_1005Metric,135.304549,-150.3308,0.0,top
C137,100n,C_0402_1005Metric,131.924749,-134.4356,90.0,top
C138,100n,C_0402_1005Metric,128.224749,-134.4356,90.0,top
C139,4.7u,C_0402_1005Metric,122.449749,-154.9856,-90.0,top
C140,1u,C_0402_1005Metric,115.849749,-148.0856,180.0,top
C141,100n,C_0402_1005Metric,120.449749,-138.5856,90.0,top
C142,100n,C_0402_1005Metric,132.349749,-143.0856,0.0,top
C143,100n,C_0402_1005Metric,127.849749,-154.9856,-90.0,top
C144,100n,C_0402_1005Metric,115.849749,-149.0856,180.0,top
C145,100n,C_0402_1005Metric,121.449749,-154.9856,-90.0,top
C146,100n,C_0402_1005Metric,206.53,-96.025,180.0,top
C147,100n,C_0402_1005Metric,199.43,-93.525,-90.0,top
C148,100n,C_0402_1005Metric,162.242964,-120.658407,0.0,top
C149,100n,C_0402_1005Metric,216.8,-96.02,180.0,top
C150,100n,C_0402_1005Metric,209.7,-93.52,-90.0,top
C151,100n,C_0402_1005Metric,166.85,-119.98,-90.0,top
C152,100n,C_0402_1005Metric,178.25,-117.53,180.0,top
C153,100n,C_0402_1005Metric,180.22,-119.905,-90.0,top
C154,100n,C_0402_1005Metric,191.62,-117.455,180.0,top
C155,100n,C_0402_1005Metric,162.255,-112.13,0.0,top
C156,100n,C_0402_1005Metric,180.229053,-71.3052,0.0,top
C157,100n,C_0402_1005Metric,201.9608,-102.7588,180.0,top
C158,100n,C_0402_1005Metric,212.035,-102.808,180.0,top
C159,100p,C_0402_1005Metric,201.9608,-104.7908,180.0,top
C160,100p,C_0402_1005Metric,212.035,-104.84,180.0,top
C161,100n,C_0402_1005Metric,209.745,-113.005,-90.0,top
C162,100n,C_0402_1005Metric,210.745,-113.005,-90.0,top
